"아이/NNG|폰/NNG","아이폰/NNG"
"노/NNG|웨이/UN|홈/NNG","영화/NNG"
"화/NNG|웨이/UN|탭/NNG","화웨이탭/NNG"
"화/NNG|웨이/UN","화웨이/NNG"
"지우/NNG|학과/NNG","드라마/NNG|과/JKM"
"지우/NNG|학/NNG","드라마/NNG"
"오/NNG|겜/UN","드라마/NNG"
"오징어/NNG|겜/UN","드라마/NNG"
"오겜/UN","드라마/NNG"
"어/XSN|플/UN","어플/NNG"
"디/NNG|플/UN","디즈니플러스/NNG"
"디즈니/NNG|플러스/NNG","디즈니플러스/NNG"
"이/MDT|누/NNG|야샤/UN","애니메이션/NNG"
"이/JKS|누/NNG|야샤/UN","애니메이션/NNG"
"반/NNG|요/JX|야샤/UN|히/NNG|메/NNG","애니메이션/NNG"
"슈/UN|페어/NNG","영화/NNG"
"앙상/NNG|블/VV|ㄹ/ETD|스타/NNG|즈/UN","애니메이션/NNG"
"런닝/NNG|맨/NNG","예능/NNG"
"구하/VV|어/ECS|주/VXV|어/ECS|홈/NNG|즈/UN","예능/NNG"
"앙/UN|기모/NNG|띠/NNG","좋음/NNG"
"호리/NNG|미/NNG|야/JX","애니메이션/NNG"
"핸/UN|폰/NNG","스마트폰/NNG"
"핸/UN|펀/NNG","스마트폰/NNG"
"스마트/NNP|폰/NNG","스마트폰/NNG"
"구미호/NNG|뎐/UN","드라마/NNG"
"팬/NNG|하우스/NNG","드라마/NNG"
"문호/NNG|스트/UN|레이/NNG|독/NNG","영화/NNG"
"모/NNG|스트/UN|데/NNM|이/VCP|ㄴ/ETD|저러/XR|슬/VA|게/ECD|임/NNG","영화/NNG"
"닥터/NNG|스트/UN|레인지/NNG","영화/NNG"
"카카오/NNG|페/UN|이로/NNP","카카오페이/NNG|으로/JKM"
"카카오/NNG|페/UN|이/NNG","카카오페이/NNG"
"재설/NNG|하/XSV|지/ECD","설치/NNG"
"페/UN|이/NNG","페이/NNG"
"페/UN|이/MDT|코/NNG","페이코/NNG"
"페/UN|이즈/NNG","페이즈/UN"
"네이버/NNG|페/UN|이/VCP","네이버페이/NNG"
"업/NNG|데이트/NNG","업데이트/NNG"
"업/NNG|댓/NR","업데이트/NNG"
"업/NNG|로드/NNG","업로드/NNG"
"팝/NNG|업/NNG","팝업/NNG"
"저/NP|의/JKG|발/NNG","제발/MAG"
"안/NNG|지나","안/MAG|지나"
"안/NNG|내고/NNG","안/MAG|내/VV"
"안/NNG|되게/MAG","안/MAG|되/VV"
"안/MAG|돼/VV","안/MAG|되/VV"
"안되/VA","안/MAG|되/VV"
"안되/VV|고/ECE","안/MAG|되/VV"
"안/NNG|하고/JC","안/MAG|하/VV"
"안/NNG|하면/NNP","안/MAG|하/VV"
"안/NNG|뜸/NNG","안/MAG|뜨/VV"
"안/NNG|보여/NNG","안/MAG|보/VV"
"안/NNG|열림/NNP","안/MAG|열/VV"
"안됨/NNG","안/MAG|되/VV"
"프리/NNG|파라/NNP","애니메이션/NNG"
"2/NR|기안/NNG|나오/VV","2/NR|기/NNM|안/MAG|나오/VV"
"도쿄/NNP|리/NNG|베/VV|ㄴ/ETD|져스/UN","애니메이션/NNG"
"컴/NNP|터/NNG","컴퓨터/NNG"
"컴/NNP|트/VV|어/ECS","컴퓨터/NNG"
"넷플릭스/NNG|컴/NNP","넷플릭스.COM/UN"
"넷플릭스/NNG|./SF|컴/NNP","넷플릭스.COM/UN"
"컴/NNP","컴퓨터/NNG"
"와이/NNG|파이/NNG","와이파이/NNG"
"오징어/NNG|게임/NNG","드라마/NNG"
"도/VV|ㄴ/ETD|주고/NNG","돈/NNG|주/VV"
"허/VV|ㄴ/ETD|터/NNB|허/VV|ㄴ/ETD|터/NNB","애니메이션/NNG"
"모브/UN|사이코/NNG","애니메이션/NNG"
"스토브/NNG|리그/NNG","드라마/NNG"
"호/VV|아/ECS","화/NNM"
"타/VV|아/ECS","타/NNM"
"재미있/VA","재미/NNG|있/VV"
"잘하/VV","잘/MAG|하/VV"
"잘되/VV","잘/MAG|되/VV"
"안하/VV","안/MAG|하/VV"
"안되/VV","안/MAG|되/VV"
"않되/VV","안/MAG|되/VV"
"시작하/VV","시작/NNG|하/VV"
"사용하/VV","사용/NNG|하/VV"
"드/VV|ㄹ/ETD","들/NNM"
"도/VV|ㄴ/ETD","돈/NNG"
"안보/NNG|이/VCP","안/MAG|보/VV"
"폰/NNG","스마트폰/NNG"
"미러/NNG|링/NNG","미러링/NNG"
"로그/NNG|아웃/NNG","로그아웃/NNG"
"고객/NNG|센터/NNG","고객센터/NNG"
"원유/NNG|아이/NNG","원유아이/NNG"
"아이/NNG|콘/NNG","아이콘/NNG"
"아이/NNG|패드/NNG","아이패드/NNG"
"검/VA","검정색/NNG"
"시꺼멓/VA|ㄴ/ETD","검정색/NNG"
"화/XSN|이/VCP|면/ECE","화면/NNG"
"10/NR|초/NNM","건너뛰기/NNG"
"건너뛰/VV|기/ETN","건너뛰기/NNG"
"하이/NNG|큐/NNG","애니메이션/NNG"
"우/NNG|영우/NNG","드라마/NNG"
"해리/NNG|포터/NNG","영화/NNG"
"드래곤/NNG|볼/NNG","애니메이션/NNG"
"영화/NNG|드래곤/NNG|길들이/VV|기/ETN","영화/NNG"
"하우스/NNG|오브/NNG|드래곤/NNG","영화/NNG"
"한데/NNG","그런데/MAC"
"마계/NNG|학교/NNG|이루/NNG|마군/NNG","애니메이션/NNG"
"마계/NNG|학교/NNG|시루/NNG|마군/NNG","애니메이션/NNG"
"지금/MAG|우리/NP|학교/NNG","드라마/NNG"
"오징어게임/NNP","드라마/NNG"
"짱구/NNG|는/JX|못/MAG|말리/VV|어/ECS","애니메이션/NNG"
"이루/NNG|마군/NNG","애니메이션/NNG"
"프린세스/NNG|스타/NNG|의/JKG|비밀/NNG|일기/NNG","애니메이션/NNG"
"지금/MAG|우리/NP|학교/NNG|는/JX","애니메이션/NNG"
"명탐정/NNG|코/NNG|낳/VV|ㄴ/ETD","애니메이션/NNG"
"명탐정/NNG|코/NNG|난/NNG","애니메이션/NNG"
"도쿄리벤져스/NNP","애니메이션/NNG"
"비밀/NNG|번호/NNG","비밀번호/NNG"
"볼만/NNG","재미/NNG"
"프로/NNG|필/NNG|","프로필/NNG"
"프로/NNG","콘텐츠/NNG"
"끄/VV|기/ETN","끄기/NNG"
"계속/NNG|플레이/NNG","몰아보기/NNG"
"계속/MAG|있/VV|어서/ECD|보/VV|ㄹ/ETD","몰아보기/NNG"
"몰/VV|아서/ECD|보/VV|고/ECE","몰아보기/NNG"
"정주행/NNG","몰아보기/NNG"
"자동/NNG|재생/NNG","몰아보기/NNG"
"크래시/NNG","오류/NNG"
"한번/NNG|에/JKM|보/VV|ㄹ/ETD","몰아보기/NNG"
"있/VV|어/ECD|보기/NNG","몰아보기/NNG"
"배/NNG|재생/NNG","배속/NNG"
"댓/NR|글/VV","댓글/NNG"
"댓/NR|글/NNG","댓글/NNG"
"배/NNG|속/NNG","배속/NNG"
"리/NNB|뷰/NNG","리뷰/NNG"
"재설/NNG|하/XSV|지/ECD","재/XPN|설치/NNG"
"어/VV|어/ECS|베/VV|ㄴ/ETD|지/VXV|어/ECS|스/VV","영화/NNG"
"헤/MAG|리포터/NNG|반지/NNG|의/JKG|제왕/NNG|다운/NNG|트/VV|ㄴ/ETD|에비/IC","영화/NNG"
"포켓몬스터/NNP","애니메이션/NNG"
"스타워즈/NNP","영화/NNG"
"로그/NNG|아웃/NNG","로그아웃/NNG"
"짱구/NNG|는/JX|못/MAG|말리/VV|어/ECS|미래/NNG|결혼/NNG","애니메이션/NNG"
"쿵/MAG|후/MAG","애니메이션/NNG"
"일시/NNG|정/NNG|지도/NNG|가능/NNG","일시정지/NNG"
"일시/NNG|정지/NNG","일시정지/NNG"
"멀티/NNG|자막/NNG","동시/NNG|자막/NNG"
"비밀/NNG|번화/XR","비밀번호/NNG"
"펜트하우/UN","드라마/NNG"
"비번/NNG","비밀번호/NNG"
"청/NNG|불인/NNG|증/NNG","성인/NNG|인증/NNG"
"저/NP|의/JKG|거하/VV|었/EPT|다가/ECD","제거/NNG|하/VV"

