"Review","Tokens"
"검은색 자막 배경 때문에 별 하나 빨리 해결 부탁드려요 불편해요.","검정색/NNG|자막/NNG|배경/NNG|때문/NNB|에/JKM|별/NNG|하나/NR|빨리/MAG|해결/NNG|부탁/NNG|어요/EFN|불편/NNG|하/XSV|어요/EFN|./SF"

"자막 디자인 돌려내.","자막/NNG|디자인/NNG|돌리/VV|어/ECS|내/NP|./SF"

"얘네 자막 배경 고칠 생각 없으니까 최신버전 삭제하고 7월말 이전 구버전 다운받아서 보세요 자막 멀쩡하게 나옵니다.","얘/UN|이/VCP|네/EFN|자막/NNG|배경/NNG|고치/VV|ㄹ/ETD|생각/NNG|없/VA|으니까/ECD|최신/NNG|버전/NNG|삭제/NNG|하/XSV|고/ECE|7/NR|월말/NNG|이전/NNG|구/NNG|버전/NNG|다운/NNG|받/VV|아서/ECD|보/VV|세요/EFN|자막/NNG|멀쩡/XR|하/XSA|게/ECD|나오/VV|ㅂ니다/EFN|./SF"

"좋은데요 제가 넷플릭스를 들어갔는데 접속을 할 수 없다고 뜨고 재시도를 눌러봐도 자꾸 안됨요. 와이파이도 빵빵하고. 뭐죠.","좋/VA|은데요/ECD|제가/NNG|넷플릭스/NNG|를/JKO|들어가/VV|었/EPT|는데/ECD|접속/NNG|을/JKO|하/VV|ㄹ/ETD|수/NNB|없다/VA|고/ECE|뜨/VV|고/ECE|재/XPN|시도/NNG|를/JKO|누르/VV|어/ECS|보/VV|아도/ECD|자꾸/MAG|안/MAG|되/VV|이/VCP|요/EFN|./SF|와이파이/NNG|도/JX|빵빵/MAG|하/VV|고/ECE|./SF|무엇/NNG|이/VCP|지요/ECD|./SF"

"넷플릭스의 설정이 들어가는데 계속 홈으로 가고 프로필 설정으로 들어가는데 계속 저절로 앱 밖으로 가요 이것좀 수정해 주세요. .","넷플릭스/NNG|의/JKG|설정/NNG|이/JKS|들어가/VV|는데/ECD|계속/NNG|홈/NNG|으로/JKM|가/VV|고/ECE|프로/NNG|필/NNG|설정/NNG|으로/JKM|들어가/VV|는데/ECD|계속/MAG|저절로/MAG|앱/NNG|밖/NNG|으로/JKM|가요/NNG|이것/NP|좀/MAG|수정/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF|./SF"

"가입이 너무 어렵네요.","가입/NNG|이/JKS|너무/MAG|어렵/VA|네요/EFN|./SF"

"수리남이 안나와요.","수리/NNG|남/NNG|이/JKS|안/MAG|나오/VV|아요/EFN|./SF"

"오늘 갑자기 스마트폰 앱이 뜨지 않아요.땡기네요.","오늘/NNG|갑자기/MAG|스마트/NNP|스마트폰/NNG|앱/NNG|이/JKS|뜨/VV|지/ECD|안/MAG|아요/EFN|./SF|땡기/VV|네요/EFN|./SF"

"로그인 할때 어떤카드를 쓰겟습니까 라고 나오는데 구글기프트카드라고 적어주시고 업데이트 하면 구글기프트 카드 결재로해 주세요. . 구글 로그인 업데이트로 추가 해 주세요. . 네이버 로그인이랑 구글 로그인 페이스북 로그인 트위터 로그인 추가를 해 주세요. . 공짜로 보게 해 주세요. .","로그인/NNG|하/VV|ㄹ/ETD|때/NNG|어떤/MDT|카드/NNG|를/JKO|쓰/VV|겠/EPT|습니까/EFQ|라고/JKQ|나오/VV|는데/ECD|구글/NNG|기/XSN|프트/UN|카드/NNG|라고/JX|적/VV|어/ECD|주/VXV|시/EPH|고/ECE|업데이트/NNG|하/VV|구글/NNG|기프트/NNG|카드/NNG|결재/NNG|로/JKM|하/VV|어/ECS|주/VXV|세요/EFN|./SF|./SF|구글/NNG|로그인/NNG|업데이트/NNG|로/JKM|추가/NNG|하/VV|어/ECS|주/VXV|세요/EFN|./SF|./SF|네이버/NNG|로그인/NNG|이랑/JC|구글/NNG|로그인/NNG|페이스/NNG|북/NNG|로그인/NNG|트위터/NNG|로그인/NNG|추가/NNG|를/JKO|하/VV|어/ECS|주/VXV|세요/EFN|./SF|./SF|공짜로/NNG|보/VV|게/ECD|하/VV|어/ECS|주/VXV|세요/EFN|./SF|./SF"

"일부 회당 영상에서 자막이 설정이 꺼져있거나 나오질 않습니다 심지어 대화중 영어를 쓰는데 자막제공이 안됩니다.왜그런지 이유좀 알려주세요.  그리고 일본 애니에 음성이 영어인거죠?","일부/NNG|회당/NNG|영상/NNG|에서/JKM|자막/NNG|이/JKS|설정/NNG|이/JKS|꺼지/VV|어/ECS|있/VXV|거나/ECE|나오/VV|지/ECS|를/JX|안/MAG|습니다/EFN|심지어/MAG|대화/NNG|중/NNB|영어/NNG|를/JKO|쓰/VV|는데/ECD|자막/NNG|제공/NNG|이/JKS|안/MAG|되/VV|ㅂ니다/EFN|./SF|왜/MAG|그렇/VA|ㄴ지/ECD|이유/NNG|좀/MAG|알리/VV|어/ECS|주/VXV|세요/EFN|./SF|그리고/MAG|일본/NNG|애니메이션/NNG|에/JKM|음성/NNG|이/JKS|영어/NNG|이/VCP|ㄴ/ETD|것/NNB|이/VCP|죠/EFN|?/SF"

"아니 도대체 자막 설정 언제 넣어줌? 자막때메 못보겠네.","아니/IC|도대체/MAG|자막/NNG|설정/NNG|언제/MAG|넣/VV|어/ECD|줌/NNG|?/SF|자막/NNG|때/NNG|메/NNG|못/MAG|보/VV|겠/EPT|네/EFN|./SF"

"자꾸 재미있던게 사라져요 어벤져스나 스타워즈좀 부탁드려요.","자꾸/MAG|재미/NNG|있/VV|더/EPT|ㄴ/ETD|것/NNB|이/JKS|사라지/VV|어요/EFN|어/VV|어/ECS|베/VV|ㄴ/ETD|지/VXV|어/ECS|스/VV|나/ECE|스타워즈/NNG|좀/MAG|부탁/NNG|어요/EFN|./SF"

"자막 설정 좀.","자막/NNG|설정/NNG|좀/MAG|./SF"

"휴대폰에서 넷플릭스가 안 열려요.","스마트폰/NNG|에서/JKM|넷플릭스/NNG|가/JKS|안/MAG|열/VV|어요/EFN|./SF"

"다 좋은데 자막 검은 배경좀 제발.제발. 몇 달 째여 이게.","다/MAG|좋/VA|은데/ECD|자막/NNG|검/VA|은/ETD|배경/NNG|좀/MAG|제/XPN|발/NNG|./SF|제발/MAG|./SF|몇/MDT|달/NNG|째이/VV|어/ECS|이것/NP|이/JKS|./SF"

"자막！ 시꺼먼 배경 짜증나서 못 보겠네 진짜 별짓 다하다 남겨요.","자막/NNG|！/SW|시꺼멓/VA|ㄴ/ETD|배경/NNG|짜증나/VV|아/ECS|스/VV|어/ECS|못/MAG|보/VV|겠/EPT|네/EFN|진짜/MAG|별/NNG|짓/NNG|다하/VV|다/ECS|남기/VV|어요/EFN|./SF"

"재밌게 보는데 배경에 검은 화면.","재미/NNG|있/VV|게/ECD|보/VV|는데/ECD|배경/NNG|에/JKM|검/VA|은/ETD|화면/NNG|./SF"

"다 좋아요.","다/MAG|좋/VA|아요/EFN|./SF"

"돈 아까워. 이젠 빠이빠이.","돈/NNG|아깝/VV|어/ECS|./SF|이젠/NNP|빠이빠/UN|이/NNG|./SF"

"별 한개도 안 줄있으면 좋겠는 이유 1. 시리즈 누르면 장르 선택이있는데 세부장르를 누를 수도 없음 2. 장르에 들어 간다고 한들 찾으라고 하는 건지 아님 그냥 나와 있는 대로 보라고 하는 것인지 모르겠음 3. 다른 어플들은. 세부적으로 나오고 추천도 있고. 찾기도 편한데 이건 찾기도 어렵고 세부적인 것도 없고 무슨 말인질 모른겠고 솔직히 개발자는 본인이 많들어 놓고 이 어플에 관심이 없는 것 같습니다. 개발자 생각이 아니라 사용자에 맞게 수정 요망. 어플에 관심이 없는 듯 한 것 같네요.","별/NNG|한/MDN|개/NNM|도/JX|알/VV|ㄴ/ETD|줄/NNB|있/VV|으면/ECD|좋/VA|겠/EPT|는/ETD|이유/NNG|1/NR|./SF|시리즈/NNG|누르/VV|면/ECE|장르/NNG|선택/NNG|이/JKS|있/VV|는데/ECD|세부/NNG|장르/NNG|를/JKO|누르/VV|ㄹ/ETD|수/NNB|도/JX|없/VA|음/ETN|2/NR|./SF|장르/NNG|에/JKM|듣/VV|어/ECD|갈/VV|ㄴ다고/ECE|한들/MAG|찾/VV|으라/EFO|고/JKQ|하/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|아/NNG|님/XSN|그냥/MAG|나오/VV|아/ECS|있/VXV|는/ETD|대로/NNB|보라/NNG|이/VCP|고/ECE|하/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECD|모르/VV|겠/EPT|음/ETN|3/NR|./SF|다르/VV|ㄴ/ETD|어플들/UN|은/JX|./SF|세부적/NNG|으로/JKM|나오/VV|고/ECE|추천/NNG|도/JX|있/VV|고/ECE|./SF|찾/VV|기/ETN|도/JX|편하/VA|ㄴ데/ECE|이/VCP|건/ECE|찾/VV|기/ETN|도/JX|어렵/VA|고/ECE|세부적/NNG|이/VCP|ㄴ/ETD|것/NNB|도/JX|없/VA|고/ECE|무슨/MDT|말/NNG|인질/NNG|모/NNG|른/UN|이/VCP|겠/EPT|고/ECE|솔직히/MAG|개발자/NNG|는/JX|본인/NNG|이/JKS|많들/UN|어/VV|어/ECS|놓/VXV|고/ECE|이/MDT|앱/NNG|에/JKM|관심/NNG|이/JKS|없/VA|는/ETD|것/NNB|같/VA|습니다/EFN|./SF|개발자/NNG|생각/NNG|이/JKC|아니/VCN|라/ECD|사용자/NNG|에/JKM|맞/VV|게/ECD|수정/NNG|요망/NNG|./SF|앱/NNG|에/JKM|관심/NNG|이/JKS|없/VA|는/ETD|듯/NNB|하/VV|ㄴ/ETD|것/NNB|같/VA|네요/EFN|./SF"

"오프라인 저장이 일부만 될 경우에는 와이파이가 연결되어있음에도 다음 화로 넘기는 버튼이 뜨지 않음. 밖으로 나가서 회차 보기에서 다음 화 선택해야됨.","오프라인/NNG|저장/NNG|이/JKS|일부/NNG|만/JX|되/VV|ㄹ/ETD|경우/NNG|에/JKM|는/JX|와이파이/NNG|가/JKS|연결/NNG|되/XSV|어/ECD|있음/NNG|에/JKM|도/JX|다음/NNG|화로/NNG|넘기/VV|는/ETD|버튼/NNG|이/JKS|뜨/VV|지/ECD|안/MAG|음/ETN|./SF|밖/NNG|으로/JKM|나가/VV|서/ECD|회/NNG|차/NNG|보기/NNG|에서/JKM|다음/NNG|화/NNG|선택/NNG|하/XSV|어야/ECD|되/VV|ㅁ/ETN|./SF"

"안드로이드에서 자막 끄기가 안됨.","안드로이드/NNG|에서/JKM|자막/NNG|끄/VV|기/ETN|가/JKS|안/MAG|되/VV|./SF"

"이번에 자막 너무 별론데 도대체 왜 검은색 바탕을 쓴거지 너무 거슬리고 안보여요.","이번/NNG|에/JKM|자막/NNG|너무/MAG|별/NNG|론/XSN|데/MAG|도대체/MAG|왜/MAG|검정색/NNG|바탕/NNG|을/JKO|쓰/VV|ㄴ/ETD|거지/NNG|너무/MAG|거슬리/VV|고/ECE|안/MAG|보/VV|어요/EFN|./SF"

"너무 좋아요 심심할때 보면 재밌고 시간도 빨리가용.","너무/MAG|좋/VA|아요/EFN|심심/XR|하/XSA|ㄹ/ETD|때/NNG|보/VV|면/ECE|재미/NNG|있/VV|고/ECE|시간/NNG|도/JX|빨리/MAG|가/VV|아요/EFN|./SF"

"좋아하는거 있긴한데 볼만한 영화나 만화 그런거 나와요.","좋/VV|는/ETD|거/NNB|있/VV|기/ETN|는/JKS|한데/NNG|볼만/NNG|하/XSV|ㄴ/ETD|영화/NNG|나/JC|만화/NNG|그런/MDT|거/NNB|나오/VV|아요/EFN|./SF"

"팝업재생시 자막만 보이는 현상이 자주 일어납니다. 확률적으로 90 나됩니다. 팝업재생으로 영상을 볼수없는데 비싼 비용을 지불하고 넷플릭스를 계속 구독해야할지 의문입니다.","팝업/NNG|재생/NNG|시/NNG|자막/NNG|만/JX|보/VV|는/ETD|현상/NNG|이/JKS|자주/MAG|일어나/VV|ㅂ니다/EFN|./SF|확률/NNG|적/XSN|으로/JKM|90/NR|나/VV|아/ECS|되/VV|ㅂ니다/EFN|./SF|팝업/NNG|재생/NNG|으로/JKM|영상/NNG|을/JKO|보/VV|ㄹ/ETD|수/NNB|없/VA|는데/ECD|비싸/VA|ㄴ/ETD|비용/NNG|을/JKO|지불/NNG|하/XSV|고/ECE|넷플릭스/NNG|를/JKO|계속/NNG|구독/NNG|하/XSV|어야/ECD|하/VV|ㄹ지/ECD|의문/NNG|이/VCP|ㅂ니다/EFN|./SF"

"너무 재미 있었어유.","너무/MAG|재미/NNG|있었/VV|어/ECD|유/NNG|./SF"

"이번 들어온 슬램덩크 정말 감사합니다 정말정말 고맙습니다 재밌게보고있습니다 넷플릭스 화이팅.","이번/NNG|들어오/VV|ㄴ/ETD|스/VV|ㄹ/ETD|램/NNG|덩크/UN|정말/MAG|감사/NNG|하/XSV|ㅂ니다/EFN|정말/MAG|정말/MAG|고맙/VA|습니다/EFN|재미/NNG|있/VV|게/ECD|보/VV|고/ECE|있/VXV|습니다/EFN|넷플릭스/NNG|화이팅/IC|./SF"

"화질도 좋고 왠만하면 좋긴한데 녹화나 캡쳐를 못하네요.","화질/NNG|도/JX|좋/VA|고/ECE|왠/MDT|만하/VV|면/ECE|좋/VA|기/ETN|는/JKS|한데/NNG|녹화/NNG|나/JC|캡/NNG|치/VV|어/ECS|를/JX|못하/VX|네요/EFN|./SF"

"정말 조아요.","정말/MAG|조/VV|아요/EFN|./SF"

"화면상 우측에는 볼륨키 넣어 달라고 좌측에는 화면 밝기가 있다. 어플 만든 수준이 왜 그래 좌에서 우로 밀어서 감기와 되감기도 만들어서 넣어라 리뷰를 쓸 수 있는 공간을 만들어라 모두 만들지 않으면 탈퇴한다.","화면/NNG|상/NNG|우측/NNG|에/JKM|는/JX|볼륨/NNG|키/NNG|넣/VV|어/ECD|달라/VV|고/ECE|좌측/NNG|에/JKM|는/JX|화면/NNG|밝기/NNG|가/JKS|있/VV|다/EFN|./SF|앱/NNG|만들/VV|ㄴ/ETD|수준/NNG|이/JKS|왜/MAG|그리하/VV|여/ECD|좌/NNG|에서/JKM|우/NNG|로/JKM|밀/VV|어서/ECD|감기/NNG|와/JKM|되감/VV|기/ETN|도/JX|만들/VV|어서/ECD|넣/VV|어/ECD|라/NNG|리뷰/NNG|를/JKO|쓰/VV|ㄹ/ETD|수/NNB|있/VV|는/ETD|공간/NNG|을/JKO|만들/VV|어/ECD|라/NNG|모두/MAG|만들/VV|ㄹ지/ECD|안/MAG|으면/ECD|탈퇴/NNG|하/XSV|ㄴ다/EFN|./SF"

"애니메이션 너무 적음.","애니메이션/NNG|너무/MAG|적/VA|음/ETN|./SF"

"포켓몬스터 영어 버전 있으면 좋을것같아요.","포켓몬스터/NNP|영어/NNG|버전/NNG|있/VV|으면/ECD|좋/VA|을/ETD|것/NNB|같/VA|아요/EFN|./SF"

"자막 뒤 검은 배경 좀 어떻게 해결해 주세요. . 분명히 설정은 배경색 없음으로 되어 있는데 앱을 지웠다 다시 깔고 로그아웃을 반복하고 스마트폰 자체 설정을 바꾸고 별별 짓을 다 해도 검은 배경이 안 사라집니다. 배경이 화면을 가려 영상 시청에 불편함이 있으니 수정 부탁드려요.","자막/NNG|뒤/NNG|검/VA|은/ETD|배경/NNG|좀/MAG|어떻/VA|게/ECD|해결/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF|./SF|분명히/MAG|설정/NNG|은/JX|배/NNG|경색/NNG|없/VA|음/ETN|으로/JKM|되/VV|어/ECD|있/VXV|는데/ECD|앱/NNG|을/JKO|지우/VV|었/EPT|다/ECS|다시/MAG|깔/VV|고/ECE|로그/NNG|아웃/NNG|을/JKO|반복/NNG|하/XSV|고/ECE|스마트/NNP|스마트폰/NNG|자체/NNG|설정/NNG|을/JKO|바꾸/VV|고/ECE|별/NNG|별/XSN|짓/NNG|을/JKO|다/MAG|하/VV|어도/ECD|검/VA|은/ETD|배경/NNG|이/JKS|안/MAG|사라지/VV|ㅂ니다/EFN|./SF|배경/NNG|이/JKS|화면/NNG|을/JKO|가리/VV|어/ECS|영상/NNG|시청/NNG|에/JKM|불편/NNG|하/XSV|ㅁ/ETN|이/JKS|있/VV|으니/ECD|수정/NNG|부탁/NNG|어요/EFN|./SF"

"아니.업데이트했는데 계정이 튕겨서 다시 들어가려는 데 안 들어가지는 건 또 뭔가요.? 장난하자는 겁니까?","아니/IC|./SF|업데이트/NNG|하/XSV|었/EPT|는데/ECD|계정/NNG|이/JKS|튕기/VV|어서/ECD|다시/MAG|들어가/VV|려는/ETD|데/NNB|안/MAG|들어가/VV|지/ECD|는/JX|걸/VV|ㄴ/ETD|또/MAG|뭔/MDT|가요/NNG|./SF|?/SF|장난/NNG|하/XSV|자고/ECD|하/VV|는/ETD|것/NNB|이/VCP|ㅂ니까/EFQ|?/SF"

"운영자님 시리즈중에 하우스 오브 드래곤 올려주세요.  부탁드립니다.","운영자/NNG|님/XSN|시리즈/NNG|중/NNB|에/JKM|하우스/NNG|오브/NNG|드래곤/NNG|오르/VV|어/ECS|주/VXV|세요/EFN|./SF|부탁/NNG|드리/VV|ㅂ니다/EFN|./SF"

"걍 좋아요.","걍/MAG|좋/VA|아요/EFN|./SF"

"잘사용 하고 있습니다.","잘/MAG|사용/NNG|하/VV|고/ECE|있/VXV|습니다/EFN|./SF"

"재밌게 보다가 어제부턴가 앱을 들어가자마자 계속 튕깁니다. 어떻게 할까요?","재미/NNG|있/VV|게/ECD|보/VV|다가/ECD|어제/NNG|부터/JX|ㄴ/JX|가/VV|아/ECS|앱/NNG|을/JKO|들어가/VV|자마자/ECE|계속/MAG|튕기/VV|ㅂ니다/EFN|./SF|어떻/VA|게/ECD|하/VV|ㄹ까요/EFQ|?/SF"

"업데이트 후 자막에 검은색 배경 생겨서 불편함. 없앨수도없음. 업데이트하지마세요. 업데이트하고 이틀째 자막 검은색배경이 없어졌습니다.","업데이트/NNG|후/NNG|자막/NNG|에/JKM|검정색/NNG|배경/NNG|생기/VV|어서/ECD|불편/NNG|하/XSV|ㅁ/ETN|./SF|없애/VV|ㄹ/ETD|수/NNB|도/JX|없/VA|음/ETN|./SF|업데이트/NNG|하/XSV|지/ECD|마/VV|세요/EFN|./SF|업데이트/NNG|하/XSV|고/ECE|이틀/NNG|째/XSN|자막/NNG|검정색/NNG|배경/NNG|이/JKS|없/VA|어/ECD|지/VXV|었/EPT|습니다/EFN|./SF"

"자막에 이상한 검정색 바가 새겨서 보기가 너무 불편함 이런거 빨리 고쳐주면 좋을듯.","자막/NNG|에/JKM|이상한/NNG|검정색/NNG|바/NNG|가/JKS|새기/VV|어서/ECD|보기/NNG|가/JKS|너무/MAG|불편/NNG|하/XSV|ㅁ/ETN|이렇/VV|ㄴ/ETD|거/NNB|빨리/MAG|고치/VV|어/ECS|주/VXV|면/ECE|좋/VA|을/ETD|듯/NNB|./SF"

"결제하고 다했는데 왜 로그인함 계속 가입하라 하나요.","결제/NNG|하/XSV|고/ECE|다하/VV|었/EPT|는데/ECD|왜/MAG|로그인/NNG|하/XSV|ㅁ/ETN|계속/NNG|가입/NNG|하/XSV|라/ECD|하나/NR|이/VCP|요/EFN|./SF"

"이미 가입 및 결제도 다되있고 멤버쉽 진행 중인데 왜 계속 가입완료하라면서 이용 못하게하는거죠? 조치부탁드립니다.","이미/MAG|가입/NNG|및/MAG|결제/NNG|도/JX|다/MAG|되/VV|어/ECS|있/VXV|고/ECE|멤버쉽/NNG|진행/NNG|중/NNB|이/VCP|ㄴ데/ECE|왜/MAG|계속/NNG|가입/NNG|완료/NNG|하/XSV|라면서/ECE|이용/NNG|못하/VA|게/ECD|하/VV|는/ETD|것/NNB|이/VCP|죠/EFN|?/SF|조치/NNG|부탁/NNG|ㅂ니다/EFN|./SF"

"한국말고는 볼거 개뿔하나도 없네.","한국말/NNG|고/XSN|는/JX|보/VV|ㄹ/ETD|거/NNB|개뿔/NNG|하나/NR|도/JX|없/VA|네/EFN|./SF"

"넷플릭스 돈 내고 보는건데 자꾸 끊기고 지금은 접속도 안되네요. 해지하라는 소리죠?","넷플릭스/NNG|돈/NNG|내/VV|보/VV|는/ETD|것/NNB|이/VCP|ㄴ데/ECD|자꾸/MAG|끊기/VV|고/ECE|지금/NNG|은/JX|접속/NNG|도/JX|안/MAG|되/VV|네요/EFN|./SF|하/VV|어/ECS|지하/NNG|이/VCP|라는/ETD|소/NNG|리죠/UN|?/SF"

"챗봇상담인지 괜찮네요.","챗봇/NNG|상담/NNG|이/VCP|ㄴ지/ECD|괜찮/VA|네요/EFN|./SF"

"업데이트 이후로 스마트폰에서 계속 앱오류가 발생합니다.","업데이트/NNG|이후/NNG|로/JKM|스마트/NNP|스마트폰/NNG|에서/JKM|계속/NNG|앱/NNG|오류/NNG|가/JKS|발생/NNG|하/XSV|ㅂ니다/EFN|./SF"

"8.39 버전으로 업데이트 후 앱크래시 나서 안됨.","8.39/NR|버전/NNG|으로/JKM|업데이트/NNG|후/NNG|앱/NNG|크래시/NNG|나/NP|서/JKM|안/MAG|되/VV|./SF"

"자막 최악.","자막/NNG|최악/NNG|./SF"

"그 왜 시즌이 올라가면 전시즌이 왜 없어지는 건가요? 그것좀 없애주세요. . 제발요 아그리고 오소마츠상 1기 다시 살려주세요. ","그/NP|왜/MAG|시즌/NNG|이/JKS|올라가/VV|면/ECE|전/MDT|시즌/NNG|이/JKS|왜/MAG|없/VA|어/ECD|지/VXV|는/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|?/SF|그것/NP|좀/MAG|없애/VV|주/VXV|시/EPH|어요/EFN|./SF|./SF|제발/MAG|요/JX|아/VV|아/ECS|그리/VV|고/ECE|오소마츠상/NNP|1/NR|기/NNM|다시/MAG|살리/VV|어/ECS|주/VXV|세요/EFN|./SF"

"어제부터 앱 열자마자 계속 크래시.","어제/NNG|부터/JX|앱/NNG|열/VV|자마자/ECE|계속/NNG|크래시/NNG|./SF"

"모바일로 넷플릭스를 보고 싶은데 켜지라는 넷플릭스는 안켜지고 넷플릭스 로고화면만 계속 뜨는데 이걸 언제쯤 고쳐주려나.","스마트폰/NNG|로/JKM|넷플릭스/NNG|를/JKO|보/VV|고/ECE|싶/VXA|은데/ECD|키/VV|라는/ETD|넷플릭스/NNG|는/JX|안/MAG|키/VV|고/ECE|넷플릭스/NNG|로고/NNG|화면/NNG|만/JX|계속/MAG|뜨/VV|는데/ECD|이것/NP|을/JKO|언제쯤/NNG|고치/VV|어/ECS|주/VXV|려나/EFQ|./SF"

"앱 실행 후 자동으로 종료됩니다. 빠른 확인이 필요해요.","앱/NNG|실행/NNG|후/NNG|자동/NNG|으로/JKM|종료/NNG|되/XSV|ㅂ니다/EFN|./SF|빠르/VA|ㄴ/ETD|확인/NNG|이/JKS|필요/NNG|하/XSV|어요/EFN|./SF"

