"이런 예능재미있음.","이런/MDT|예능/NNG|재미/NNG|있음/NNG|./SF"
"어플 버퍼링 완전 심하고 동그라미 계속. 실행이 안됩니다 돈버림 한번하려면 성질남.","앱/NNG|버퍼링/NNG|완전/NNG|심/NNG|하/XSV|고/ECE|동그라미/NNG|계속/NNG|./SF|실행/NNG|이/JKS|안/MAG|되/VV|ㅂ니다/EFN|돈/NNG|버리/VV|ㅁ/ETN|한번/MAG|하/VV|려면/ECE|성질/NNG|남/NNG|./SF"
"BTS 콘서트 실황 어디서든 볼수있어서 좋네요.","BTS/OL|콘서트/NNG|실황/NNG|어디/NP|서/JKM|든/JX|보/VV|ㄹ/ETD|수/NNB|있/VV|어서/ECD|좋/VA|네요/EFN|./SF"
"미국군대 관련된 영상도 보고싶어요.","미국/NNG|군대/NNG|관련/NNG|되/XSV|ㄴ/ETD|영상/NNG|도/JX|보/VV|고/ECE|싶/VXA|어요/EFN|./SF"
"계속 로딩중이네요 어제 저녁부터요.","계속/NNG|로딩중이네/UN|요/JX|어제/NNG|저녁/NNG|부터/JX|요/JX|./SF"
"애니메이션이 많아서 좋아요.","애니메이션/NNG|이/JKS|많/VA|아서/ECD|좋/VA|아요/EFN|./SF"
"안들어가져요 무한버퍼링.","안/MAG|듣/VV|어/ECD|가지/VXV|어요/EFN|무한/NNG|버퍼링/NNG|./SF"
"0점주고싶을정도.일단 앱이 들어가지가 않아서 노트북이나 티비로밖에 못봄.","0/NR|점/NNM|주/VV|고/ECE|싶/VXA|을/ETD|정도/NNG|./SF|일단/MAG|앱/NNG|이/JKS|들어가/VV|지/ECD|가/VV|아/ECS|안/MAG|아서/ECD|컴퓨터/NNG|이나/JX|티비/NNG|로/JKM|밖에/JX|못/MAG|봄/NNG|./SF"
"왜 로딩만뜨고 실행이 안될까요.","왜/MAG|로딩/NNG|만/JX|뜨/VV|고/ECE|실행/NNG|이/JKS|안/MAG|되/VV|ㄹ까요/EFQ|./SF"
"계속 로딩중만 뜨고 다음으로 안넘어가지네요 빨리 개선좀.","계속/NNG|로딩/NNG|중/NNB|만/JX|뜨/VV|고/ECE|다음/NNG|으로/JKM|안/MAG|넘/VV|어/ECD|가지/VXV|네요/EFN|빨리/MAG|개선/NNG|좀/MAG|./SF"
"앱에 들어갈때 무한 로딩이너무 짜증나요. 이게 디즈니가 맞는지 참.","앱/NNG|에/JKM|들어가/VV|ㄹ/ETD|때/NNG|무한/NNG|로딩/NNG|이/JKS|너무/MAG|짜증나/VV|아요/EFN|./SF|이것/NP|이/JKS|디즈니/NNG|가/JKS|맞/VV|는지/ECS|참/NNG|./SF"
"결제했는대 로그인 자체가 안되요.로딩 화면만 어찌해야하나요.","결제/NNG|하/XSV|었/EPT|는데/ECD|로그인/NNG|자체/NNG|가/JKS|안/MAG|되/VV|어요/EFN|./SF|로딩/NNG|화면/NNG|만/JX|어찌하/VV|어야/ECD|하/VV|나요/EFQ|./SF"
"오류83을 해결하려고 계속 껐다 키고 하는데 자꾸 뜹니다. 좀 고쳐요.","오류/NNG|83/NR|을/JKO|해결/NNG|하/XSV|려고/ECD|계속/MAG|끄/VV|었/EPT|다/ECS|키/VV|고/ECE|하/VV|는데/ECD|자꾸/MAG|뜨/VV|ㅂ니다/EFN|./SF|좀/MAG|고치/VV|어요/EFN|./SF"
"접속 안됨 빨리 개선해줘요.","접속/NNG|안/MAG|되/VV|빨리/MAG|개선/NNG|하/XSV|어/ECS|주/VXV|어요/EFN|./SF"
"이번에 행사해서 다시 가입했더니 로딩 시간 왜케 긴가요? 한편보는데 2 3분정도 로딩 시간 기다려야 겨우 한편 봅니다 기종은 S10 5G입니다 이것저것 다써봤지만 이렇게 느린 앱은 처음이네요.","이번/NNG|에/JKM|행사/NNG|하/XSV|어서/ECD|다시/MAG|가입/NNG|하/XSV|었/EPT|더니/ECD|로딩/NNG|시간/NNG|왜케/UN|길/VA|ㄴ가요/EFQ|?/SF|한편/MAG|보/VV|는데/ECD|2/NR|3/NR|분/NNM|정도/NNG|로딩/NNG|시간/NNG|기다리/VV|어야/ECD|겨우/MAG|한편/NNG|보/VV|ㅂ니다/EFN|기종/NNG|은/JX|S/OL|10/NR|5/NR|G/OL|일/VV|ㅂ니다/EFN|이것/NP|저것/NP|다/MAG|쓰/VV|어/ECS|보/VV|았/EPT|지만/ECE|이렇게/MAG|느리/VA|ㄴ/ETD|앱/NNG|은/JX|처음/NNG|이/VCP|네요/EFN|./SF"
"오류코드 83 처리좀부탁해요.","오류/NNG|코드/NNG|83/NR|처리/NNG|좀/MAG|부탁/NNG|하/XSV|어요/EFN|./SF"
"왜 다음화로 넘기는거 없어지고 처음부터 재생이 생겼죠? 개 불편하게 바꿨네요? 이거 무슨 일일이 나가서 하나씩 눌러서 보라는건가요?","왜/MAG|다음/NNG|화/XSN|로/JKM|넘기/VV|는/ETD|거/NNB|없/VA|어/ECD|지/VXV|고/ECE|처음/NNG|부터/JX|재생/NNG|이/JKS|생기/VV|었/EPT|죠/EFN|?/SF|개/NNM|불편/NNG|하/XSV|게/ECD|바꾸/VV|었/EPT|네요/EFN|?/SF|이거/NP|무슨/MDT|일일/NNG|이/JKS|나가/VV|서/ECD|하나/NNG|씩/XSN|누르/VV|어서/ECD|보/VV|라는/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|?/SF"
"무언가 많이 답답허네요 먼가 어설프고 느리고 답없네요 빠른 개선 해주길.","무언가/NNG|많이/MAG|답답/XR|허/XSA|네요/EFN|머/VA|ㄴ가/ECS|어설프/VA|고/ECE|느리/VV|고/ECE|답/NNG|없/VA|네요/EFN|빠르/VA|ㄴ/ETD|개선/NNG|하/VV|어/ECS|주/VXV|기/ETN|를/JKO|./SF"
"디즈니가 허접한건지 한국시장을 우습게보는건지.","디즈니/NNG|가/JKS|허/NNG|접하/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ지/ECS|한국/NNG|시장/NNG|을/JKO|우습/VA|게/ECD|보/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|./SF"
"첫결제 2500워이라면서 9900원 결제되고 이거까지 어떻게든 이해하겟는데 다음날보려고 들어가니 들어가지지도않네.","첫/MDT|결제/NNG|2500/NR|워/UN|이/VCP|라면서/ECE|9900/NR|원/NNM|결제/NNG|되/XSV|고/ECE|이거/NP|까지/JX|어떻게/MAG|든/JX|이해/NNG|하/XSV|겠/EPT|는데/ECD|다음날/NNG|보/VV|려고/ECD|들어가/VV|니/ECD|들어가/VV|지/ECD|지도/NNG|안/MAG|네/EFN|./SF"
"시청내역 삭제하기 만들어주세요 버벅대는것도 수정해주시고.","시청/NNG|내역/NNG|삭제/NNG|하/XSV|기/ETN|만들/VV|어/ECD|주세/NNG|요/JX|버벅대는것/UN|도/JX|수정/NNG|하/XSV|어/ECS|주/VXV|시/EPH|고/ECE|./SF"
"비번안바꾸면못씀 그래서 안씀.","비번/NNG|안/MAG|바꾸/VV|면/ECE|못쓰/VV|ㅁ/ETN|그리하/VV|여서/ECD|안/MAG|쓰/VV|ㅁ/ETN|./SF"
"접속이 왜 안되냐고 장난하냐? 진짜 달마다 돈받아처먹으면서 어플 완성도 하고는.","접속/NNG|이/JKS|왜/MAG|안/MAG|되/VV|냐/EFQ|고/JKQ|장난/NNG|하/XSV|냐/EFQ|?/SF|진짜/NNG|달/NNG|마다/JX|돈/NNG|받/VV|아/ECD|처먹/VV|으면서/ECE|앱/NNG|완성도/NNG|하/VV|고는/ECE|./SF"
"이런 형편없는 앱은 처음입니다. 정작 쓸려고하면 무한 로딩 재생불가인 시간이 사용할 수 있는 시간보다 많네요.","이런/MDT|형편없/VA|는/ETD|앱/NNG|은/JX|처음/NNG|이/VCP|ㅂ니다/EFN|./SF|정작/NNG|쓸/VV|려고/ECD|하/VV|면/ECE|무한/NNG|로딩/NNG|재생/NNG|불가/NNG|이/VCP|ㄴ/ETD|시간/NNG|이/JKS|사용/NNG|하/XSV|ㄹ/ETD|수/NNB|있/VV|는/ETD|시간/NNG|보다/JKM|많/VA|네요/EFN|./SF"
"왜 실행이 안되는겨 폰으러.","왜/MAG|실행/NNG|이/JKS|안/MAG|되/VV|는/ETD|기/VV|어/ECS|스마트폰/NNG|으/UN|러/NNP|./SF"
"이모저모 아이들과 재미있게 보고있어요.","이모저모/NNG|아이/NNG|들/XSN|과/JKO|재미/NNG|있/VV|게/ECD|보/VV|고/ECE|있/VXV|어요/EFN|./SF"
"볼 게 없다 볼 게 진짜.","보/VV|ㄹ/ETD|것/NNB|이/JKS|없/VA|다/ECS|보/VV|ㄹ/ETD|것/NNB|이/JKS|진짜/NNG|./SF"
"구독하기 전엔 어떤컨텐츠가 있는지 둘러보지도 못하게 만들어놓음 컨텐츠에 자신이 없나봐요 재생속도 조절불가.","구독/NNG|하/XSV|기/ETN|전/NNG|에/JKM|는/JX|어떻/VA|ㄴ/ETD|컨텐츠/NNG|가/JKS|있/VV|는지/ECS|둘러보/VV|지/ECD|도/JX|못하/VX|게/ECD|만들/VV|어/ECD|놓/VXV|음/ETN|컨텐츠/NNG|에/JKM|자신/NNG|이/JKS|없/VA|나/EFQ|보/VV|아요/EFN|재생/NNG|속도/NNG|조절/NNG|불가/NNG|./SF"
"계속 로딩만 하고 접속이 안됨. 이럴꺼면 환불을 해주든가.","계속/NNG|로딩/NNG|만/JX|하/VV|고/ECE|접속/NNG|이/JKS|안/MAG|되/VV|./SF|이렇/VV|ㄹ/ETD|꺼/NNG|이/VCP|면/ECE|환불/NNG|을/JKO|하/VV|어/ECS|주/VXV|든가/EFN|./SF"
"배속기능좀요.다른 어플들 보고 편의성을 개선시키면 좋겠네요.","배속/NNG|기능/NNG|좀/MAG|요/JX|./SF|다르/VV|ㄴ/ETD|앱/NNG|들/VV|ㄹ/ETD|보고/NNG|편의성/NNG|을/JKO|개선/NNG|시키/XSV|면/ECE|좋/VA|겠/EPT|네요/EFN|./SF"
"앱이 안 켜져요.","앱/NNG|이/JKS|안/MAG|키/VV|어요/EFN|./SF"
"디즈니 작품을 좋아해서 모아 보니 좋긴함. 근데 배속이랑 자동으로 줄거리 오프닝 건너뛰기 있었으면 더 좋았을 듯.","디즈니/NNG|작품/NNG|을/JKO|좋/VV|어서/ECD|모으/VV|아/ECS|보/VV|니/ECD|좋/VA|기/ETN|는/JKS|함/NNG|./SF|근데/MAG|배속/NNG|이랑/JC|자동/NNG|으로/JKM|줄거리/NNG|오프닝/NNG|건너뛰/VV|기/ETN|있었/VV|으면/ECD|더/MAG|좋/VA|았/EPT|을/ETD|듯/NNB|./SF"
"좋아하는 마블팬들한테 딱좋은 디즈니플러스 강력추천합니다.","좋/VV|는/ETD|마블/NNG|팬/NNG|들/XSN|한테/JKO|딱/MAG|좋/VA|은/ETD|디즈니플러스/NNG|강력/XR|추천/NNG|하/XSV|ㅂ니다/EFN|./SF"
"어플이 안켜져요.","앱/NNG|이/JKS|안/MAG|키/VV|어요/EFN|./SF"
"동작이 안됨.","동작/NNG|이/JKS|안/MAG|되/VV|./SF"
"어플 실행이 안되고 로딩 화면에서 넘어가지 않음.","앱/NNG|실행/NNG|이/JKS|안/MAG|되/VV|로딩/NNG|화면/NNG|에서/JKM|넘/VV|지/ECD|안/MAG|음/ETN|./SF"
"추억의 감동.","추억/NNG|의/JKG|감동/NNG|./SF"
"앱을발로개발했는지 초기구동도 안되네.","앱/NNG|을/JKO|발/NNG|로/JKM|개발/NNG|하/XSV|었/EPT|는지/ECS|초기/NNG|구동/NNP|도/JX|안/MAG|되/VV|네/EFN|./SF"
"굿. 피니와퍼브 한글자막도 주세요.","굿/NNG|./SF|피/VV|니/ECD|오/VV|아/ECS|퍼브/UN|한글/NNG|자막/NNG|도/JX|주/VV|세요/EFN|./SF"
"화면잠금 만들어줘 제발.","화면/NNG|잠금/NNG|만들/VV|어/ECD|주/VXV|어/ECS|제발/MAG|./SF"
"아니 지금 한달 넘게 안들어가져요 자꾸 로딩만 뜨고.","아니/IC|지금/NNG|한/MDN|달/NNG|넘/VV|게/ECD|안/MAG|듣/VV|어/ECD|가지/VXV|어요/EFN|자꾸/MAG|로딩/NNG|만/JX|뜨/VV|고/ECE|./SF"
"무한 로딩 좀 해결해 주세요 그리고 앱 개발자분 급여값 좀 하시죠. 제가 사용자라면 앱 개발자부터 교체했을 듯.","무한/NNG|로딩/NNG|좀/MAG|해결/NNG|하/XSV|어/ECS|주세/NNG|요/JX|그리/VV|고/ECE|앱/NNG|개발자/NNG|분/NNG|급여/NNG|값/NNG|좀/MAG|하/VV|시/EPH|죠/EFN|./SF|저/NP|가/JKS|사용자/NNG|이/VCP|라면/ECD|앱/NNG|개발자/NNG|부터/JX|교체/NNG|하/XSV|었/EPT|을/ETD|듯/NNB|./SF"
"디즈니 어플 접속이 안됩니다. 어플 설치 후 실행하면 뜨는 기본창에서 로딩창만 계속 반복됩니다. 해결책이 있을까요?","디즈니/NNG|앱/NNG|접속/NNG|이/JKS|안/MAG|되/VV|ㅂ니다/EFN|./SF|앱/NNG|설치/NNG|후/NNG|실행/NNG|하/XSV|면/ECE|뜨/VV|는/ETD|기본/NNG|창/NNG|에서/JKM|로딩창/UN|만/JX|계속/MAG|반복/NNG|되/XSV|ㅂ니다/EFN|./SF|해결책/NNG|이/JKS|있/VV|을까요/EFQ|?/SF"
"심슨 꾼잼.","심/NNG|슬/VV|ㄴ/ETD|꾸/VV|ㄴ/ETD|잼/NNG|./SF"
"자막 똑바로 다세요.","자막/NNG|똑바로/MAG|다세/NNG|이/VCP|요/EFN|./SF"
"PIP모드 배속재생 지원해주세요.","PIP/NNG|모드/NNG|배속재생/NNG|지원/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"
"어플 화면이 계속 로딩중으로 뜸니다 해결해주세요.","앱/NNG|화면/NNG|이/JKS|계속/NNG|로딩중으/UN|로/JKM|뜸/NNG|니/VV|다/ECS|해결/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"
"너무 좋아요.","너무/MAG|좋/VA|아요/EFN|./SF"
"뭔가 불편한데 뭐가 불편한 건지 모르겠아요.","뭔/MDT|가/VV|아/ECS|불편/NNG|하/XSV|ㄴ/ETD|데/NNB|뭐/NP|가/JKS|불편/NNG|하/XSV|ㄴ/ETD|것/NNB|이/VCP|ㄴ지/ECS|모르겠아/UN|요/JX|./SF"
"제발 배속 좀. 대체 무슨 고집임.","제발/MAG|배속/NNG|좀/MAG|./SF|대체/MAG|무슨/MDT|고집/NNG|임/NNG|./SF"
"앱이 다운받은뒤로 한번을 열리지를 않는데 대체 어떻게해야 접속이됩니까? 오류코드 83만 계속뜨고 단한번을 접속이안되네요 로딩만해다 끔 구매를하고싶어도 되지를않으니 한국에선 돈안벌어도된다는건가.","앱/NNG|이/JKS|다운/NNG|받/VV|은/ETD|뒤/NNG|로/JKM|한번/NNG|을/JKO|열/VV|ㄹ/ETD|리지/NNG|를/JKO|안/MAG|는데/ECD|대체/MAG|어떻/VA|게/ECD|하/VV|어야/ECD|접속/NNG|이/JKC|되/VV|ㅂ니까/EFQ|?/SF|오류/NNG|코드/NNG|83/NR|만/JX|계속/MAG|뜨/VV|고/ECE|단/NNG|한번/NNG|을/JKO|접속/NNG|이/JKS|안/MAG|되/VV|네요/EFN|로딩만해/UN|다/JC|끄/VV|ㅁ/ETN|구매/NNG|를/JKO|하/VV|고/ECE|싶/VXA|어도/ECD|되지르/VV|ㄹ/ETD|안/MAG|으니/ECD|한국/NNG|에서/JKM|는/JX|돈/NNG|안/MAG|벌/VV|어도/ECD|되/VV|ㄴ다는/ETD|것/NNB|이/VCP|ㄴ가/EFQ|./SF"
"아주 좋습니다.","아주/MAG|좋/VA|습니다/EFN|./SF"
"갤럭시 폴드4으로 화면 크게볼때 짤리지 않게 잘 나오도록 수정좀 해주세요. 이것저것 볼거리도 많은데 실용적인 패치는 바로바로 안하는게 말이 됩니까?","갤럭시폴드/NNG|4/NR|으로/JKM|화면/NNG|크/VA|게/ECD|보/VV|ㄹ/ETD|때/NNG|짤리/VV|지/ECD|안/MAG|게/ECD|잘/MAG|나오/VV|도록/ECD|수정/NNG|좀/MAG|하/VV|어/ECS|주/VXV|세요/EFN|./SF|이것저것/NNG|볼거리/NNG|도/JX|많/VA|은데/ECD|실용적/NNG|이/VCP|ㄴ/ETD|패치/NNG|는/JX|바로바로/MAG|안/MAG|하/VV|는/ETD|것/NNB|이/JKS|말/NNG|이/JKC|되/VV|ㅂ니까/EFQ|?/SF"
"들어가자마자 로그인또는 바로 결제창 뜨네. 뭐가 인기있는지 목록정도는 보고 판단해야하지 않니? 안하고말지.","들어가/VV|자마자/ECE|로그인/NNG|또는/MAG|바로/MAG|결제/NNG|창/NNG|뜨/VV|네/EFN|./SF|뭐/NP|가/JKS|인기/NNG|있/VV|는지/ECS|목록/NNG|정도/NNG|는/JX|보/VV|고/ECE|판단/NNG|하/XSV|어야/ECD|하/VV|지/ECD|안/MAG|니/EFQ|?/SF|안/MAG|하/VV|고/ECE|말/VXV|ㄹ지/ECD|./SF"
"안녕하세요 디즈니플러스 잘 사용하고 있습니다 크리미널 마인드가 있어서 요즘 디플만 보고있어요 다른 마블 영화 등등은 말할 것도 없구요 다만 자막 두 개 동시자막이 나왔으면 좋겠어요 그러면 영어공부 할 겸 많은 구독자가 유입되지 않을까.합니다.","안녕/NNG|하세/NNG|요/JX|디즈니플러스/NNG|잘/MAG|사용/NNG|하/XSV|고/ECE|있/VXV|습니다/EFN|크리/NNG|미/NNG|널/NNG|마인드/NNG|가/JKS|있/VV|어서/ECD|요즘/NNG|디즈니플러스/NNG|만/JX|보/VV|고/ECE|있/VXV|어요/EFN|다른/MDT|마블/NNG|영화/NNG|등등/NNB|은/JX|말하/VV|ㄹ/ETD|것/NNB|도/JX|없/VA|구요/EFN|이/VCP|다만/ECE|자막/NNG|두/MDN|개/NNM|동시/NNG|자막/NNG|이/JKS|나오/VV|았/EPT|으면/ECD|좋/VA|겠/EPT|어요/EFN|그러/VV|면/ECE|영어/NNG|공부/NNG|하/VV|ㄹ/ETD|겸/NNB|많/VA|은/ETD|구독자/NNG|가/JKS|유입/NNG|되/XSV|지/ECD|안/MAG|을까/EFQ|./SF|하/VV|ㅂ니다/EFN|./SF"
"정말 가입을 후회합니다 볼것도 많지않고 재가 조정은 못하는건지 모르겠지만 핸드폰에서는 더빙판만 볼수가있고 어뗘영화는 자막도 없어요 어제 가입후 언니한테 구박받고 돈날리고.","정말/MAG|가입/NNG|을/JKO|후회/NNG|하/XSV|ㅂ니다/EFN|보/VV|ㄹ/ETD|것/NNB|도/JX|많/VA|지/ECD|안/MAG|고/ECE|재가/NNG|조정/NNG|은/JX|못하/VX|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|모르/VV|겠/EPT|지만/ECE|스마트폰/NNG|에서/JKM|는/JX|더빙/NNG|판/NNG|만/JX|보/VV|ㄹ/ETD|수/NNB|가/JKS|있/VV|고/ECE|어띠/VV|어/ECS|영화/NNG|는/JX|자막/NNG|도/JX|없/VA|어요/EFN|어제/NNG|가입/NNG|후/NNG|언니/NNG|한테/JKO|구박/NNG|받/VV|고/ECE|돈/NNG|날리/VV|고/ECE|./SF"
"병진같은어플 켜지지도않네.","병진/NNG|같/VA|은/ETD|앱/NNG|키/VV|지/ECD|도/JX|안/MAG|네/EFN|./SF"
"앱안들어 가진다고.첨엔 들어가졌다고. 안고치냐고? 15일은된거같은데.","앱/NNG|안/MAG|듣/VV|어/ECD|가지/VXV|ㄴ다고/ECE|./SF|첨/NNG|에/JKM|는/JX|듣/VV|어/ECD|가지/VXV|었/EPT|다고/EFN|./SF|안/MAG|고치/VV|냐/EFQ|고/JKQ|?/SF|15/NR|일/NNM|은/JX|되/VV|ㄴ/ETD|거/NNB|같/VA|은데/ECD|./SF"
"다른앱 위에 표시랑 다음 에피소드 보는게 안되서 좀 아쉽네요.","다른/MDT|앱/NNG|위/NNG|에/JKM|표시/NNG|랑/JC|다음/NNG|에피소드/NNG|보/VV|는/ETD|것/NNB|이/JKS|안/MAG|되/VV|어/ECS|스/VV|어/ECS|좀/MAG|아쉽/VA|네요/EFN|./SF"
"무한 로딩 문제는 정말 고쳐지지가 않네요 프로필 수정도 안되고 틈만 나면 오류 코드 42가 뜹니다 멀쩡하게 인터넷 연결이 돼있는데 말이죠 그리고 영상 다운로드 해놓으면 뭐합니까 아예 틀어지지가 않는데 정말 화가 나서 글 씁니다 돈 내고 보는데 이렇게 어플 상태가 엉망이라니 실망입니다 하루 이틀도 아니고 계속 이러네요.","무한/NNG|로딩/NNG|문제/NNG|는/JX|정말/MAG|고치/VV|어/ECS|지지/NNG|가/JKS|안/MAG|네요/EFN|프로필/NNG|수정/NNG|도/JX|안/MAG|되/VV|고/ECE|틈/NNG|만/JX|나/VV|면/ECE|오류/NNG|코드/NNG|42/NR|가/JKS|뜨/VV|ㅂ니다/EFN|멀쩡/XR|하/XSA|게/ECD|인터넷/NNG|연결/NNG|이/JKC|되/VV|어/ECS|있/VXV|는데/ECD|말/NNG|이/VCP|죠/EFN|그리고/MAC|영상/NNG|다운로드/NNG|하/VV|어/ECS|놓/VXV|으면/ECD|뭐하/VV|ㅂ니까/EFQ|아예/MAG|틀어지/VV|지/ECD|가/VV|아/ECS|안/MAG|는데/ECD|정말/MAG|화/NNG|가/JKS|나/VV|아서/ECD|글/NNG|쓰/VV|ㅂ니다/EFN|돈/NNG|내/VV|보/VV|는데/ECD|이렇/VA|게/ECD|앱/NNG|상태/NNG|가/JKS|엉망/NNG|이/VCP|라니/EFQ|실망/NNG|이/VCP|ㅂ니다/EFN|하루/NNG|이틀/NNG|도/JX|아니/VV|고/ECE|계속/MAG|이러/VV|네요/EFN|./SF"
"정말 잘사용하고 있습니당 컨텐츠가 생각보다 많아서 좋아용 프리미엄 고민중인 분들 고민하지 말고 바로 지르세요.","정말/MAG|잘/MAG|사용/NNG|하/XSV|고/ECE|있/VXV|습니다/EFN|컨텐츠/NNG|가/JKS|생각/NNG|보다/JKM|많/VA|아서/ECD|좋/VA|아/ECD|용/NNG|프리미엄/NNG|고민/NNG|중인/NNG|불/VV|ㄴ들데/ECE|고민/NNG|하/XSV|지/ECD|말/VXV|고/ECE|바로/MAG|지르/VV|세요/EFN|./SF"
"보고싶은 시리즈의 일부만 업로드 되어있는 경우가 있어서 아쉬워요. 하루라도 빨리 전 시리즈 업데이트 부탁드립니다. 예를 들면 1기가 없고 2기부터 있다거나 하는. 아니면 그 반대의 경우도 있어서 전 회차 보고싶어요.","보/VV|고/ECE|싶/VXA|은/ETD|시리즈/NNG|의/JKG|일부/NNG|만/JX|업로드/NNG|되/VV|어/ECD|있/VXV|는/ETD|경우/NNG|가/JKS|있/VV|어서/ECD|아쉽/VA|어요/EFN|./SF|하루/NNG|라도/JX|빨리/MAG|전/NNG|시리즈/NNG|업데이트/NNG|부탁/NNG|드리/VV|ㅂ니다/EFN|./SF|예/NNG|를/JKO|들/VV|면/ECE|1/NR|기가/NNG|없/VA|고/ECE|2/NR|기/NNM|부터/JX|있/VV|다/ECS|거나/JX|하/NNB|는/JX|./SF|아니/VCN|면/ECE|그/MDT|반대/NNG|의/JKG|경우/NNG|도/JX|있/VV|어서/ECD|전/MDT|회/NNB|차/NNG|보/VV|고/ECE|싶/VXA|어요/EFN|./SF"
"들어가려고 하면 무한 로딩.","들어가/VV|려고/ECD|하/VV|면/ECE|무한/NNG|로딩/NNG|./SF"
"앱 설치부터 안됨.","앱/NNG|설치/NNG|부터/JX|안/MAG|되/VV|./SF"
"다 좋은데 플레이어가 아쉬움.","다/MAG|좋/VA|은데/ECD|플레이어/NNG|가/JKS|아쉬움/NNG|./SF"
"돈만결제되고 설치도 안되고 뭐이런 쓰레기가 다있냐.","돈만/NNG|결제/NNG|되/XSV|고/ECE|설치/NNG|도/JX|안/MAG|되/VV|고/ECE|뭐/NP|이런/MDT|쓰레기/NNG|가/JKS|다/MAG|있/VV|냐/EFQ|./SF"
